"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_iz_USRACT_ID_EMOTE_CAMPFIRE","Sit straight ","Sit straight ","Vzpřímený sed ","Gerade sitzen ","Сесть прямо ","Usiądź prosto ","Sit straight ","Seduto dritto ","Sentarse recto ","Assis droit ","坐直 ","背筋をピン ","Sentar reto ","坐直",
"STR_iz_USRACT_ID_EMOTE_CLAP","Clap ","Clap ","Tleskání ","Klatschen ","Аплодисменты ","Klaszcz ","Clap ","Applauso ","Aplauso ","""Bravo"" ","拍手 ","拍手 ","Aplaudir ","鼓掌",
"STR_iz_USRACT_ID_EMOTE_COME","Come ","Come ","Pojď ","Komm! ","Погнали ","Chodź ","Come ","Vieni ","Aquí ","""Viens"" ","過來 ","おいで ","Aqui ","过来",
"STR_iz_USRACT_ID_EMOTE_DABBING","Dabbing ","Dabbing ","Dabbing ","Dab ","Даб ","Dabbing ","Dabbing ","Danza dello starnuto ","Dab ","Dab ","擺超人姿勢 ","ダブ ","Dab ","轻拍",
"STR_iz_USRACT_ID_EMOTE_DANCE","Dance ","Dance ","Tanec ","Tanzen ","Танец ","Taniec ","Dance ","Danza ","Bailar ","Danser ","跳舞 ","ダンス ","Dançar ","跳舞",
"STR_iz_USRACT_ID_EMOTE_DOWN","Down ","Down ","K zemi ","Runter! ","Вниз ","W dół ","Down ","A terra ","Abajo ","""À terre"" ","趴地 ","ダウン ","Abaixo ","低身隐蔽",
"STR_iz_USRACT_ID_EMOTE_FACEPALM","Facepalm ","Facepalm ","Bože můj ","Facepalm ","Фейспалм ","Facepalm ","Facepalm ","Imbarazzo ","Palmada en la cara ","""N'importe quoi..."" ","捂臉 ","呆れジェスチャー ","Palmada na testa ","用手捂脸",
"STR_iz_USRACT_ID_EMOTE_GREETING","Hello ","Hello ","Ahoj ","Hallo ","Привет ","Cześć ","Hello ","Ciao ","Hola ","""Bonjour"" ","哈囉 ","こんにちは ","Olá ","你好",
"STR_iz_USRACT_ID_EMOTE_HEART","Heart ","Heart ","Srdce ","Herz ","Сердце ","Serce ","Heart ","Cuore ","Corazón ","Cœur ","愛心 ","ハート ","Coração ","心形手势",
"STR_iz_USRACT_ID_EMOTE_HOLD","Stop ","Stop ","Stát ","Halt! ","Подожди ","Stop ","Stop ","Fermo ","Alto ","""Halte"" ","停止 ","停止 ","Parar ","停止",
"STR_iz_USRACT_ID_EMOTE_LISTENING","Listen ","Listen ","Poslouchej ","Hör! ","Послушай ","Słuchaj ","Listen ","Ascolta ","Escuchar ","""Écoute"" ","傾聽 ","聞き上手 ","Escute ","倾听",
"STR_iz_USRACT_ID_EMOTE_LOOKATME","Look at me ","Look at me ","Nečum ","Sieh mich an! ","Смотри на меня ","Patrz na mnie ","Look at me ","Guardami ","Mírame ","""Regarde-moi"" ","看著我 ","こっちを見て ","Olha pra mim ","看着我",
"STR_iz_USRACT_ID_EMOTE_LYINGDOWN","Lie down ","Lie down ","Šlofík ","Hinlegen ","Прилечь ","Połóż się ","Lie down ","Disteso ","Tumbarse ","S'allonger ","躺下 ","横たわる ","Tombar ","躺下",
"STR_iz_USRACT_ID_EMOTE_MOVE","Move ","Move ","Vpřed ","Los! ","Вперед ","Ruchy ","Move ","Avanti ","Adelante ","""Avance"" ","移動 ","どいて ","Adiante ","前进",
"STR_iz_USRACT_ID_EMOTE_NOD","Nod head ","Nod head ","Ano ","Kopfnicken ","Кивок головой ","Pokiwaj głową ","Nod head ","Annuire ","Asentir ","""Oui"" ","點頭 ","頷き ","Concordar ","点头",
"STR_iz_USRACT_ID_EMOTE_POINT","Point ","Point ","Tam ","Zeigen ","Там ","Wskaż ","Point ","Puntare ","Apuntar ","Montrer ","用手指 ","指差し ","Apontar ","用手指着",
"STR_iz_USRACT_ID_EMOTE_POINTSELF","Point at self ","Point at self ","Já ","Ich ","Я ","Wskaż na siebie ","Point at self ","Chi, io? ","Señalarse ","""Moi"" ","手指自己 ","自分を指差し ","Apontar-se ","指着自己",
"STR_iz_USRACT_ID_EMOTE_RPS","RPS ","RPS ","Kámen, nůžky, papír ","SSP ","КНБ ","Papier, kamień, nożyce ","RPS ","SCF ","PPT ","Chifoumi ","猜拳 ","ジャンケン ","PPT ","石头、剪刀、布",
"STR_iz_USRACT_ID_EMOTE_RPS_P","RPS - Paper ","RPS - Paper ","Kámen, nůžky, papír – papír ","SSP - Papier ","КНБ - Бумага ","PKN – papier ","RPS - Paper ","SCF - Carta ","PPT: Papel ","Chifoumi - papier ","猜拳：布 ","ジャンケン - パー ","PPT - Papel ","石头、剪刀、布 - 布",
"STR_iz_USRACT_ID_EMOTE_RPS_R","RPS - Rock ","RPS - Rock ","Kámen, nůžky, papír – kámen ","SSP - Stein ","КНБ - Камень ","PKN – kamień ","RPS - Rock ","SCF - Sasso ","PPT: Piedra ","Chifoumi - pierre ","猜拳：石頭 ","ジャンケン - グー ","PPT - Pedra ","石头、剪刀、布 - 石头",
"STR_iz_USRACT_ID_EMOTE_RPS_S","RPS - Scissors ","RPS - Scissors ","Kámen, nůžky, papír – nůžky ","SSP - Schere ","КНБ - Ножницы ","PKN – nożyce ","RPS - Scissors ","SCF - Forbici ","PPT: Tijeras ","Chifoumi - ciseaux ","猜拳：剪刀 ","ジャンケン - チョキ ","PPT - Tesoura ","石头、剪刀、布 - 剪刀",
"STR_iz_USRACT_ID_EMOTE_SALUTE","Salute ","Salute ","Salutování ","Salutieren ","Отдать честь ","Salut ","Salute ","Saluto militare ","Saludar ","Respect ","敬禮 ","挨拶 ","Saudar ","敬礼",
"STR_iz_USRACT_ID_EMOTE_SHAKE","Shake head ","Shake head ","Ne ","Handschlag ","Покачать головой ","Pokręć głową ","Shake head ","No ","Negar ","""Non"" ","搖頭 ","首を横に振る ","Negar ","摆头",
"STR_iz_USRACT_ID_EMOTE_SHRUG","Shrug ","Shrug ","Nevím ","Weiß nicht ","Не знаю ","Wzrusz ramionami ","Shrug ","Vabbè ","Da igual ","""J'sais pas"" ","聳肩 ","肩をすくめる ","Nem aí ","耸肩",
"STR_iz_USRACT_ID_EMOTE_SILENT","Silent ","Silent ","Tiše ","Leise! ","Тихо ","Milcz ","Silent ","Silenzio ","Silencio ","""Silence"" ","噤聲 ","沈黙 ","Silêncio ","安静",
"STR_iz_USRACT_ID_EMOTE_SITA","Sit crossed ","Sit crossed ","Ležérní sed ","Schneidersitz ","Привал ","Siad skrzyżny ","Sit crossed ","Rilassato ","Piernas cruzadas ","Détendu ","交叉雙腿 ","脚組み ","Cruzar pernas ","盘腿坐",
"STR_iz_USRACT_ID_EMOTE_SITB","Lie back ","Lie back ","Sed vzad ","Lehnen ","Полулежа ","Połóż się na plecach ","Lie back ","Disteso ","Recostarse ","En arrière ","往後躺 ","リラックスする ","Sentar reclinado ","向后仰坐",
"STR_iz_USRACT_ID_EMOTE_SOS","Wave ","Wave ","Mávání ","Winken ","Знак SOS руками ","Pomachaj ","Wave ","Aiuto ","Manos arriba ","""Par ici"" ","揮手 ","手を振る ","Acenar ","挥手",
"STR_iz_USRACT_ID_EMOTE_SUICIDE","Suicide ","Suicide ","Sebevražda ","Selbstmord ","Самоубийство ","Samobójstwo ","Suicide ","Suicidio ","Suicidio ","Se suicider ","自殺 ","自害 ","Suicídio ","自杀",
"STR_iz_USRACT_ID_EMOTE_SURRENDER","Surrender ","Surrender ","Vzdávám se ","Kapitulieren ","Сдаться ","Poddaj się ","Surrender ","Resa ","Rendirse ","""Je me rends"" ","投降 ","降伏 ","Rendição ","投降",
"STR_iz_USRACT_ID_EMOTE_TAUNT","Fuck off ","Fuck off ","Jdi do hajzlu ","Mittelfinger ","Пошел ты ","Środkowy palec ","Fuck off ","Vai a quel paese ","Que te den ","Doigt d'honneur ","滾開 ","失せろ ","Sai fora ","滚开",
